Company,Merged with,Number of Claims Belonging to that Company Before Merge
Korea Atomic Industrial Forum,Japan Atomic Industrial Forum,1
NRGIPALLAS,NRG I PALLAS,1
China Nuclear Power Co Ltd,China National Nuclear Power,1
GE Steam Power Ltd,GE Steam Power,1
Moltex Energy USA,Moltex Energy,1
Springfields Fuels Ltd (SFL),Springfields Fuels Limited,1
Westinghouse Electric UK,Westinghouse Electric,1
Rusatom Energy Projects,Rosatom Energy Projects,1
China Nuclear Power Engineering (CNPE),China Nuclear Power Engineering Company Ltd,1
France's Atomic Energy Commission (CEA),Ghana Atomic Energy Commission,1
SN Nuclearelectrica (SNN),SN Nuclearelectricia (SNN),1
Dell Technologies,Onet Technologies,1
US Westinghouse,Westinghouse,1
Bilfinger Engineering & Technologies,Bilfinger Piping Technologies UK,1
Bilfinger UK,Bilfinger,1
Deep Isolation EMEA,Deep Isolation,1
KGHM Polska Miedżed SA,KGHM Polska Miedz,1
Atomic Energy Commission (AEC),Ghana Atomic Energy Commission,1
UK's Nuclear Decommissioning Authority,Nuclear Decommissioning Authority (NDA),1
JSC Atomenergomash,Atomenergomash,1
Peregrine Turbine Technologies,Peregrine Turbine Technologies (PTT),1
Ultra Safe Nuclear Corp.,Ultra Safe Nuclear Corp (USNC),1
GE Hitachi (GEH),GE-Hitachi,1
Lloyd's Register,Lloyd Resister,1
Pacific Nuclear Transport Ltd (PNTL),Pacific Nuclear Transport Ltd.,1
US Exim Bank (EXIM),US Exim Bank,1
Societatea Naționala Nuclearelectrica,Societatea Națională Nuclearelectrica,1
Societatea Naționala Nuclearelectrica (SNN),Societatea Națională Nuclearelectrica,1
Vuje,VUJE,1
"JRC – Joint Research Centre, European Commission",Joint Research Centre-European Commission,1
DB Energy,EDF Energy,1
US NuScale Power,NuScale Power,1
Chinese Nuclear Power Engineering,China Nuclear Power Engineering Group,1
Rosatom Group,Tosto Group,1
UK Nuclear Waste Services (NWS),Nuclear Waste Services,1
China General Nuclear Power Corporation,China General Nuclear Power Corporation (CGN),1
Ondraf/Niras,ONDRAF/NIRAS,1
US Environmental Protection Agency,Scottish Environment Protection Agency,1
Atomflot,Rosatomflot,1
United Shipbuilding Corporation - USC,United Shipbuilding Corporation,1
BWXTechologies,BWX Technologies,1
High-Tech Gründerfonds (HTGF),High-Tech Gründerfonds,1
Tokamak Energy Ltd,Tokamak Energy,1
STP Nuclear Operating Company,Southern Nuclear Operating Company,1
NRG Energy,GS Energy,1
POSCO E&C,Posco E&C,1
Nuclearelectrica SA,Nuclearelectrica,1
PCL Nuclear Management,PCL Nuclear Management Inc,1
Nuclear Industry Association (NIA),Nuclear Industry Association,1
French Alternative Energies & Atomic Energy Commission (CEA),French Alternative Energies and Atomic Energy Commission,1
US Electric Power Research Institute (EPRI),Electric Power Research Institute,1
Steedy Energy,Steady Energy,1
China Nuclear Energy Industry Corporation,China Nuclear Engineering Corporation,1
China National Nuclear Corporation Overseas,China National Nuclear Corporation (CNNC),1
Samsung C&T Corp,Samsung C&T Corporation,1
JSC Rusatom Automated Control Systems,Rusatom Automated Control Systems (RASU),1
Thor Energy,Energy Harbor,1
Uranium Energy Exploration,Energy Exploration,1
NexGen Energy Ltd,NexGen Energy,1
Orano SA,Orano USA,1
Nucor Corporation,Fluor Corporation,1
Department of Atomic Energy,Department of Atomic Energy (DAE),1
Inpex Corporation,IP3 Corporation,1
JIC Venture Growth Investments Co,JIC Venture Growth Investments,1
Mammoth,Mammoet,1
Springfields Fuel,Springfields,1
Japan Electric Power Co,Kansai Electric Power Co,1
Creative Engineers Inc,Creative Engineers Inc (CEI),1
SK ecoplant,SK Ecoplant,1
State Energy Investment Corporation (SPIC),State Power Investment Corporation,1
Fifth China Nuclear Industry Construction Company,China Nuclear Industry 22 Construction Company,1
HD Korea Shipbuilding & Offshore Engineering,HD Korea Shipbuilding & Marine Engineering,1
JSC Rusatom Overseas,Rusatom Overseas,1
Max Planck Institute for Plasma Physics,Max Planck Institute for Plasma Physics (IPP),1
S.N. Nuclearelectrica,Nuclearelectrica,1
Nuclear Power Plants Authority (NPPA),Egypt's Nuclear Power Plants Authority (NPPA),1
Eletrobrás,Eletrobras,1
Ruselectronics,Roselectronics,1
ITM Isotope Technologies Munic SE,ITM Isotope Technologies Munich,1
UK National Nuclear Laboratory (NNL),National Nuclear Laboratory,1
X Energy,X-energy,1
Emirates Nuclear Energy Co (ENEC),Emirates Nuclear Energy Corporation (Enec),1
U.K. Atomic Energy Authority (UKAEA),UK Atomic Energy Authority (UKAEA),1
Emirates Nuclear Energy Corporation,Emirates Nuclear Energy Corporation (Enec),1
"United Engineers & Constructors, Inc.",United Engineers & Constructors,1
National Research & Innovation Agency (BRIN),National Research and Innovation Agency of Indonesia,1
Rolls-Royce SMR Ltd,Rolls-Royce SMR Limited,1
Natural Resources Wales (NRW),Natural Resources Wales,1
Office of Nuclear Regulation (ONR),Office for Nuclear Regulation,1
EdF,EDF,1
Atomenergoproekt,Atomenergoproject,1
JSC Orgenergostroy,Orgenergostroy,1
Rosatom’s Engineering Division,Rosatom Engineering Division,1
AEM-technologies,AEM-Technologies,1
SN Nuclearelectrica SA (SNN),SN Nuclearelectricia (SNN),1
Commission for Atomic Energy & Alternative Energies (CEA),French Alternative Energies and Atomic Energy Commission,1
China Energy Investment Corporation,China Power Investment Corporation,1
Westinghouse Electric Co.,Westinghouse Electric,1
National Nuclear Security Administration (NNSA),National Nuclear Security Administration,1
Nucleoelectrica Argentina SA (NA-SA),Nucleoelectrica Argentina,1
Central Design & Technology Institute (JSC TsPTI),Central Design & Technological Institute (JSC CPTI),1
CNNC Sufan Technology Industry Company,Sufa Technology Industrial Company (STIC),1
Dongfang Electric Company,Dongfang Electric Corporation,1
Harbin Electric Group,Shanghai Electric Group,1
US Georgia Power,Georgia Power,1
Guangxi Fangchenggang Nuclear Power Co.,Guangxi Fangchenggang Nuclear Power Co,1
Australian Nuclear Science and Technology Organisation,Australia’s Nuclear Science & Technology Organisation (ANSTO),1
Nuclear Waste Management Organisation,Nuclear Waste Management Organisation of Japan,1
DOE's Office of Nuclear Energy,Office of Nuclear Energy,1
US Constellation,Constellation,1
Babcock Power,Babcock Power Inc.,1
Atomstroyeksport,Atomstroyexport,1
Dominion Energy Inc,Dominion Energy,1
GE-Hitachi Nuclear,GE-Hitachi Nuclear Energy,1
Pakistan Atomic Energy Commission,Ghana Atomic Energy Commission,1
U.S. Department of Energy,US Department of Energy,1
Dow Chemical,DOW Chemical,1
Fortum Power and Heat Oy,Fortum Power & Heat Oy,1
JSC Mashinostroitelny Zavod,Mashinostroitelny Zavod,1
Nawah Energy Company (Nawah),Nawah Energy Company,1
Orano NPS,Orano NCS,1
US Centrus Energy,Centrus Energy,1
Pacific Northwest National Laboratory,Pacific Northwest National Laboratory (PNNL),1
Nuclear Regulatory Commission,US Nuclear Regulatory Commission,1
the Nuclear Advanced Manufacturing Research Centre,Nuclear Advanced Manufacturing Research Centre (NAMRC),1
TsKBM (part of Rosatom’s mechanical engineering division Atomenergomash),Rosatom’s mechanical engineering division Atomenergomash,1
LeadCold,Leadcold,1
Oak Ridge National Laboratory (ORNL),Oak Ridge National Laboratory,1
Enel Group,ENEA Group,1
Leipunsky Institute of Physics & Power Engineering (IPPE),AI Leipunsky Institute of Physics & Power Engineering (IPPE),1
Massachusetts Institute of Technology (MIT),Massachusetts Institute of Technology,1
General Atomics Electromagnetic Systems,General Atomics Electromagnetic Systems (GA-EMS),1
IP Group,PTT Group,1
Cammesa,CAMMESA,1
Liaoning Nuclear Power Company Limited,Liaoning Nuclear Power Co Ltd,1
ORLEN Synthos Green Energy,Orlen Sythnos Green Energy,1
PK Orlen,PKN Orlen,1
Shine,SHINE,1
ASEA-Atom,Asea Atom,1
EXIM Bank,US Exim Bank,1
Regnum Technology Group LLC,Regnum Technology Group,1
AtkinsRealis,AtkinsRéalis,1
European Bank for Reconstruction & Development,European Bank for Reconstruction and Development,1
Atkins Nuclear & Power,Nuclear Power Ghana,1
HOLTEC Britain,Holtec Britain,1
China General Nuclear Power Corp (CGN),China General Nuclear Power Corporation (CGN),1
Holtech,Holtec,1
Korea Hydro and Nuclear Power (KHNP),Korea Hydro & Nuclear Power,1
Fennovoima Oy,Fennovoima,1
Electricite de France,Electricité de France,1
Pertamina,PT Pertamina,1
AA Bochvar Research Institute of Inorganic Materials,AA Bochvar Research Institute of Inorganic Materials (VNIINM),1
JSC Titan-2,SCC Titan-2,1
Nuvia,NUVIA,1
Directorate for Radiation Protection & Nuclear Safety (DSA),Dutch Authority for Nuclear Safety and Radiation Protection,1
Graphitec,Graphitech,1
Westinghouse Electric Spain,Westinghouse Electric,1
The Urals Federal University (UrFU),Ural Federal University,1
AA Bochvar Research Institute of Inorganic Materials (VNIINM – part of TVEL),AA Bochvar Research Institute of Inorganic Materials (VNIINM),1
Rosatom’s fuel company Tvel,Rosatom's fuel company TVEL,1
Societatea Nationala Nuclearelectrica SA,Societatea Națională Nuclearelectrica,1
Invap,INVAP,1
Ares Acquisition Corporation (AAC),Ares Acquisition Corporation,1
"Teollisuuden Voima (TVO), Fingrid",Teollisuuden Voima Oyj (TVO),1
